substrate_id	discipline	decided_by	evidence
econ_zh_ba1e1ec4e3	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_c17913c054	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_c9e29652c4	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_ce44d5c59b	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_d0717121de	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_d335c0d77d	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_d8347c21db	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_da27a19f30	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_dbbac66e8b	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_def644a1f3	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_e02d6f741e	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
econ_zh_e8b4c74665	经济学	program_keyword	前缀econ_zh: 登记subject一致+内容一致
mankiw_principles_econ_10e	经济学	program_keyword	前缀mankiw_principles_econ_10e: 书名
math_calculus	数学	program_keyword	前缀math_calculus: 书名
math_calculus_ch2	数学	program_keyword	前缀math_calculus_ch2: 书名
math_prog_02acc20be4	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_02d68a5f5e	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_071ae04a9a	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_08d1db0a78	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_096e6ebd0e	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_0ba573a7cf	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_12ed484a36	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_16bb59ad7a	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_16fc6eb697	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_1f660086ff	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_1f794c4ebf	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_28225940e8	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_29cc6a6c35	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_29efcce75e	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_2a45bc6b26	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_364fee8d14	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_36edc1ab0e	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_37c44570ce	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_397201e29d	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_3ad4be9daf	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_3cc2d0c221	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_3e7d55817d	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_4259c2772b	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_4939eb860b	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
math_prog_4d6f280264	数学	program_keyword	前缀math_prog: 内容实测:庞加莱引理/正态分布/样本均值无偏/SVM margin
